Name	Ordinal
AcquireSRWLockExclusive	1
AcquireSRWLockShared	2
AddVectoredContinueHandler	3
AddVectoredExceptionHandler	4
AllocateTitlePhysicalPages	5
Beep	6
BindIoCompletionCallback	7
CallbackMayRunLong	8
CancelIo	9
CancelIoEx	10
CancelSynchronousIo	11
CancelThreadpoolIo	12
CancelWaitableTimer	13
CloseHandle	14
CloseThreadpool	15
CloseThreadpoolCleanupGroup	16
CloseThreadpoolCleanupGroupMembers	17
CloseThreadpoolIo	18
CloseThreadpoolTimer	19
CloseThreadpoolWait	20
CloseThreadpoolWork	21
CompareFileTime	22
CompareStringEx	23
CompareStringOrdinal	24
CompareStringW	25
ConnectNamedPipe	26
ConvertFiberToThread	27
ConvertThreadToFiber	28
ConvertThreadToFiberEx	29
CopyContext	30
CopyFile2	31
CopyMemoryNonTemporal	32
CreateDirectoryA	33
CreateDirectoryW	34
CreateEventA	35
CreateEventExA	36
CreateEventExW	37
CreateEventW	38
CreateFiber	39
CreateFiberEx	40
CreateFile2	41
CreateFileA	42
CreateFileMappingW	43
CreateFileW	44
CreateIoCompletionPort	45
CreateMutexA	46
CreateMutexExA	47
CreateMutexExW	48
CreateMutexW	49
CreateNamedPipeW	50
CreatePipe	51
CreateProcessA	52
CreateProcessW	53
CreateRemoteThread	54
CreateRemoteThreadEx	55
CreateSemaphoreA	56
CreateSemaphoreExA	57
CreateSemaphoreExW	58
CreateSemaphoreW	59
CreateThread	60
CreateThreadpool	61
CreateThreadpoolCleanupGroup	62
CreateThreadpoolIo	63
CreateThreadpoolTimer	64
CreateThreadpoolWait	65
CreateThreadpoolWork	66
CreateWaitableTimerA	67
CreateWaitableTimerExA	68
CreateWaitableTimerExW	69
CreateWaitableTimerW	70
DebugBreak	71
DecodePointer	72
DecodeSystemPointer	73
DeleteCriticalSection	74
DeleteFiber	75
DeleteFileA	76
DeleteFileW	77
DeleteProcThreadAttributeList	78
DeleteSynchronizationBarrier	79
DeviceIoControl	80
DisableThreadLibraryCalls	81
DisassociateCurrentThreadFromCallback	82
DisconnectNamedPipe	83
DuplicateHandle	84
EncodePointer	85
EncodeSystemPointer	86
EnterCriticalSection	87
EnterSynchronizationBarrier	88
EnumSystemLocalesA	89
EnumSystemLocalesEx	90
EnumSystemLocalesW	91
EventActivityIdControl	92
EventEnabled	93
EventProviderEnabled	94
EventRegister	95
EventSetInformation	96
EventUnregister	97
EventWrite	98
EventWriteEx	99
EventWriteString	100
EventWriteTransfer	101
ExitProcess	102
ExitThread	103
ExpandEnvironmentStringsW	104
FatalAppExitA	105
FileTimeToLocalFileTime	106
FileTimeToSystemTime	107
FillMemoryNonTemporal	108
FindClose	109
FindFirstFileA	110
FindFirstFileExA	111
FindFirstFileExW	112
FindFirstFileW	113
FindNLSString	114
FindNLSStringEx	115
FindNextFileA	116
FindNextFileW	117
FindResourceExW	118
FindStringOrdinal	119
FlsAlloc	120
FlsFree	121
FlsGetValue	122
FlsSetValue	123
FlushFileBuffers	124
FlushProcessWriteBuffers	125
FoldStringW	126
FormatMessageW	127
FreeEnvironmentStringsW	128
FreeLibrary	129
FreeLibraryAndExitThread	130
FreeLibraryWhenCallbackReturns	131
FreeTitlePhysicalPages	132
GetACP	133
GetCPInfo	134
GetCommandLineA	135
GetCommandLineW	136
GetComputerNameExW	137
GetConsoleCP	138
GetConsoleMode	139
GetConsoleType	140
GetCurrencyFormatEx	141
GetCurrentDirectoryA	142
GetCurrentDirectoryW	143
GetCurrentProcess	144
GetCurrentProcessId	145
GetCurrentProcessorNumber	146
GetCurrentProcessorNumberEx	147
GetCurrentThread	148
GetCurrentThreadId	149
GetCurrentThreadStackLimits	150
GetDateFormatA	151
GetDateFormatEx	152
GetDateFormatW	153
GetDiskFreeSpaceExW	154
GetDiskFreeSpaceW	155
GetDriveTypeA	156
GetDriveTypeW	157
GetDynamicTimeZoneInformation	158
GetEnabledXStateFeatures	159
GetEnvironmentStringsW	160
GetEnvironmentVariableW	161
GetExitCodeProcess	162
GetExitCodeThread	163
GetFileAttributesA	164
GetFileAttributesExA	165
GetFileAttributesExW	166
GetFileAttributesW	167
GetFileInformationByHandle	168
GetFileInformationByHandleEx	169
GetFileSize	170
GetFileSizeEx	171
GetFileTime	172
GetFileType	173
GetFullPathNameA	174
GetFullPathNameW	175
GetGeoInfoW	176
GetHandleInformation	177
GetLastError	178
GetLocalTime	179
GetLocaleInfoA	180
GetLocaleInfoEx	181
