Name	Ordinal
A_SHAFinal	1
A_SHAInit	2
A_SHAUpdate	3
AlpcAdjustCompletionListConcurrencyCount	4
AlpcFreeCompletionListMessage	5
AlpcGetCompletionListLastMessageInformation	6
AlpcGetCompletionListMessageAttributes	7
AlpcGetHeaderSize	8
AlpcGetMessageAttribute	9
AlpcGetMessageFromCompletionList	10
AlpcGetOutstandingCompletionListMessageCount	11
AlpcInitializeMessageAttribute	12
AlpcMaxAllowedMessageLength	13
AlpcRegisterCompletionList	14
AlpcRegisterCompletionListWorkerThread	15
AlpcRundownCompletionList	16
AlpcUnregisterCompletionList	17
AlpcUnregisterCompletionListWorkerThread	18
DbgBreakPoint	19
DbgPrint	20
DbgPrintEx	21
DbgPrintReturnControlC	22
DbgPrompt	23
DbgQueryDebugFilterState	24
DbgSetDebugFilterState	25
DbgUiConnectToDbg	26
DbgUiContinue	27
DbgUiConvertStateChangeStructure	28
DbgUiDebugActiveProcess	29
DbgUiGetThreadDebugObject	30
DbgUiIssueRemoteBreakin	31
DbgUiRemoteBreakin	32
DbgUiSetThreadDebugObject	33
DbgUiStopDebugging	34
DbgUiWaitStateChange	35
DbgUserBreakPoint	36
EtwCreateTraceInstanceId	37
EtwDeliverDataBlock	38
EtwEnumerateProcessRegGuids	39
EtwEventActivityIdControl	40
EtwEventEnabled	41
EtwEventProviderEnabled	42
EtwEventRegister	43
EtwEventSetInformation	44
EtwEventUnregister	45
EtwEventWrite	46
EtwEventWriteEx	47
EtwEventWriteFull	48
EtwEventWriteNoRegistration	49
EtwEventWriteString	50
EtwEventWriteTransfer	51
EtwGetTraceEnableFlags	52
EtwGetTraceEnableLevel	53
EtwGetTraceLoggerHandle	54
EtwLogTraceEvent	55
EtwNotificationRegister	56
EtwNotificationUnregister	57
EtwProcessPrivateLoggerRequest	58
EtwRegisterTraceGuidsA	59
EtwRegisterTraceGuidsW	60
EtwReplyNotification	61
EtwSendNotification	62
EtwSetMark	63
EtwTraceEventInstance	64
EtwTraceMessage	65
EtwTraceMessageVa	66
EtwUnregisterTraceGuids	67
EtwpGetCpuSpeed	68
EtwpNotificationThread	69
ExpInterlockedPopEntrySListEnd16	70
ExpInterlockedPopEntrySListFault16	71
ExpInterlockedPopEntrySListResume16	72
KiRaiseUserExceptionDispatcher	73
KiUserApcDispatcher	74
KiUserExceptionDispatcher	75
LdrAccessResource	76
LdrAddDllDirectory	77
LdrAddRefDll	78
LdrDisableThreadCalloutsForDll	79
LdrEnumerateLoadedModules	80
LdrFindEntryForAddress	81
LdrFindResourceEx_U	82
LdrGetDllDirectory	83
LdrGetDllFullName	84
LdrGetDllHandle	85
LdrGetDllHandleByName	86
LdrGetDllHandleEx	87
LdrGetDllPath	88
LdrGetFailureData	89
LdrGetProcedureAddress	90
LdrGetProcedureAddressEx	91
LdrGetProcedureAddressForCaller	92
LdrInitializeThunk	93
LdrLoadDll	94
LdrLockLoaderLock	95
LdrOpenImageFileOptionsKey	96
LdrProcessRelocationBlock	97
LdrProcessRelocationBlockEx	98
LdrQueryImageFileExecutionOptions	99
LdrQueryImageFileExecutionOptionsEx	100
LdrQueryImageFileKeyOption	101
LdrQueryModuleServiceTags	102
LdrQueryOptionalDelayLoadedAPI	103
LdrQueryProcessModuleInformation	104
LdrRegisterDllNotification	105
LdrRemoveDllDirectory	106
LdrResolveDelayLoadedAPI	107
LdrResolveDelayLoadsFromDll	108
LdrSetDefaultDllDirectories	109
LdrSetDllDirectory	110
LdrShutdownProcess	111
LdrShutdownThread	112
LdrSystemDllInitBlock	113
LdrUnloadDll	114
LdrUnlockLoaderLock	115
LdrUnregisterDllNotification	116
LdrVerifyImageMatchesChecksum	117
LdrVerifyImageMatchesChecksumEx	118
MD4Final	119
MD4Init	120
MD4Update	121
MD5Final	122
MD5Init	123
MD5Update	124
NlsAnsiCodePage	125
NlsMbCodePageTag	126
NtAlertResumeThread	127
NtAlertThread	128
NtAlertThreadByThreadId	129
NtAllocateLocallyUniqueId	130
NtAllocateReserveObject	131
NtAllocateUserPhysicalPages	132
NtAllocateUuids	133
NtAllocateVirtualMemory	134
NtAlpcAcceptConnectPort	135
NtAlpcCancelMessage	136
NtAlpcConnectPort	137
NtAlpcConnectPortEx	138
NtAlpcCreatePort	139
NtAlpcCreatePortSection	140
NtAlpcCreateResourceReserve	141
NtAlpcCreateSectionView	142
NtAlpcCreateSecurityContext	143
NtAlpcDeletePortSection	144
NtAlpcDeleteResourceReserve	145
NtAlpcDeleteSectionView	146
NtAlpcDeleteSecurityContext	147
NtAlpcDisconnectPort	148
NtAlpcImpersonateClientOfPort	149
NtAlpcOpenSenderProcess	150
NtAlpcOpenSenderThread	151
NtAlpcQueryInformation	152
NtAlpcQueryInformationMessage	153
NtAlpcRevokeSecurityContext	154
NtAlpcSendWaitReceivePort	155
NtAlpcSetInformation	156
NtAssociateWaitCompletionPacket	157
NtCancelIoFile	158
NtCancelIoFileEx	159
NtCancelSynchronousIoFile	160
NtCancelTimer	161
NtCancelWaitCompletionPacket	162
NtClearEvent	163
NtClose	164
NtContinue	165
NtCreateDebugObject	166
NtCreateDirectoryObject	167
NtCreateEvent	168
NtCreateFile	169
NtCreateIoCompletion	170
NtCreateJobObject	171
NtCreateKey	172
NtCreateKeyedEvent	173
NtCreateMutant	174
NtCreateNamedPipeFile	175
NtCreateSection	176
NtCreateSemaphore	177
NtCreateSymbolicLinkObject	178
NtCreateThreadEx	179
NtCreateTimer	180
NtCreateUserProcess	181
NtCreateWaitCompletionPacket	182
NtCreateWorkerFactory	183
NtDebugActiveProcess	184
NtDebugContinue	185
NtDelayExecution	186
NtDeleteFile	187
NtDeleteKey	188
NtDeleteValueKey	189
NtDeviceIoControlFile	190
NtDuplicateObject	191
NtDuplicateToken	192
NtEnable32BitProcess	193
NtEnumerateKey	194
NtEnumerateValueKey	195
NtExpandHostMemory	196
NtFlushBuffersFile	197
NtFlushBuffersFileEx	198
NtFlushInstructionCache	199
NtFlushProcessWriteBuffers	200
NtFreeUserPhysicalPages	201
NtFreeVirtualMemory	202
NtFsControlFile	203
NtGetContextThread	204
NtGetCurrentProcessorNumber	205
NtGetDevicePowerState	206
NtGetNextProcess	207
NtGetNextThread	208
NtGetNlsSectionPtr	209
NtGetTickCount	210
NtInitializeNlsFiles	211
NtInitializeRegistry	212
NtIsProcessInJob	213
NtLoadDriver	214
NtLoadKey	215
NtLockFile	216
NtMakePermanentObject	217
NtMakeTemporaryObject	218
NtMapUserPhysicalPages	219
NtMapViewOfSection	220
NtNotifyChangeDirectoryFile	221
NtNotifyChangeKey	222
NtOpenDirectoryObject	223
NtOpenEvent	224
NtOpenFile	225
NtOpenIoCompletion	226
NtOpenJobObject	227
NtOpenKey	228
NtOpenKeyEx	229
NtOpenKeyedEvent	230
NtOpenMutant	231
NtOpenProcess	232
NtOpenSection	233
NtOpenSemaphore	234
NtOpenSymbolicLinkObject	235
NtOpenThread	236
NtOpenTimer	237
NtPlugPlayControl	238
NtPowerInformation	239
NtProtectVirtualMemory	240
NtPulseEvent	241
NtQueryAttributesFile	242
NtQueryDebugFilterState	243
NtQueryDefaultLocale	244
NtQueryDirectoryFile	245
NtQueryDirectoryObject	246
NtQueryEvent	247
NtQueryFullAttributesFile	248
NtQueryInformationFile	249
NtQueryInformationJobObject	250
NtQueryInformationProcess	251
NtQueryInformationThread	252
NtQueryInformationToken	253
NtQueryInformationWorkerFactory	254
NtQueryInstallUILanguage	255
NtQueryIntervalProfile	256
NtQueryIoCompletion	257
NtQueryKey	258
NtQueryMutant	259
NtQueryObject	260
NtQueryPerformanceCounter	261
NtQuerySection	262
NtQuerySemaphore	263
NtQuerySymbolicLinkObject	264
NtQuerySystemInformation	265
NtQuerySystemInformationEx	266
NtQuerySystemTime	267
NtQueryTimer	268
NtQueryTimerResolution	269
NtQueryUserPhysicalPages	270
NtQueryValueKey	271
NtQueryVirtualMemory	272
NtQueryVolumeInformationFile	273
NtQueueApcThread	274
NtQueueApcThreadEx	275
NtRaiseException	276
NtReadFile	277
NtReadFileScatter	278
NtReadVirtualMemory	279
NtRegisterThreadTerminatePort	280
NtReleaseKeyedEvent	281
NtReleaseMutant	282
NtReleaseSemaphore	283
NtReleaseWorkerFactoryWorker	284
NtRemoveIoCompletion	285
NtRemoveIoCompletionEx	286
NtRemoveProcessDebug	287
NtResetEvent	288
NtResumeProcess	289
NtResumeThread	290
NtSerializeBoot	291
NtSetContextThread	292
NtSetDebugFilterState	293
NtSetEvent	294
NtSetEventBoostPriority	295
NtSetInformationDebugObject	296
NtSetInformationFile	297
NtSetInformationJobObject	298
NtSetInformationObject	299
NtSetInformationProcess	300
NtSetInformationThread	301
NtSetInformationWorkerFactory	302
NtSetIntervalProfile	303
NtSetIoCompletion	304
NtSetIoCompletionEx	305
NtSetSystemInformation	306
NtSetSystemTime	307
NtSetTimer	308
NtSetTimerEx	309
NtSetTimerResolution	310
NtSetUuidSeed	311
NtSetValueKey	312
NtSetVolumeInformationFile	313
NtShutdownSystem	314
NtShutdownWorkerFactory	315
NtSignalAndWaitForSingleObject	316
NtSuspendProcess	317
NtSuspendThread	318
NtSystemDebugControl	319
NtTerminateJobObject	320
NtTerminateProcess	321
NtTerminateThread	322
NtTestAlert	323
NtTraceControl	324
NtTraceEvent	325
NtUnloadDriver	326
NtUnloadKey	327
NtUnlockFile	328
NtUnmapViewOfSection	329
NtWaitForAlertByThreadId	330
NtWaitForDebugEvent	331
NtWaitForKeyedEvent	332
NtWaitForMultipleObjects	333
NtWaitForSingleObject	334
NtWaitForWorkViaWorkerFactory	335
NtWorkerFactoryWorkerReady	336
NtWriteFile	337
NtWriteFileGather	338
NtWriteVirtualMemory	339
NtYieldExecution	340
RtlAcquirePebLock	341
RtlAcquireReleaseSRWLockExclusive	342
RtlAcquireResourceExclusive	343
RtlAcquireResourceShared	344
RtlAcquireSRWLockExclusive	345
RtlAcquireSRWLockShared	346
RtlAddFunctionTable	347
RtlAddGrowableFunctionTable	348
RtlAddVectoredContinueHandler	349
RtlAddVectoredExceptionHandler	350
RtlAllocateHandle	351
RtlAllocateHeap	352
RtlAllocateMemoryBlockLookaside	353
RtlAllocateMemoryZone	354
RtlAnsiCharToUnicodeChar	355
RtlAnsiStringToUnicodeSize	356
RtlAnsiStringToUnicodeString	357
RtlAppendAsciizToString	358
