Name	                  Ordinal
ADDR_PIPES                1
ADDR_BANKS                2
ADDR_GROUP_BYTES          3
ADDR_SWAP_GROUPS          4
ADDR_SAMPLE_BYTES         5
ADDR_ELEM_BITS            6
ADDR_PITCH                7
ADDR_HEIGHT               8
ADDR_EXTENT               9
ADDR_FRAGMENTS            10
ADDR_PITCH_ORIGIN         11
ADDR_HEIGHT_ORIGIN        12
ADDR_EXTENT_ORIGIN        13
ADDR_FRAGMENTS_ORIGIN     14
ADDR_PITCH_PADDING        15
ADDR_HEIGHT_PADDING       16
ADDR_EXTENT_PADDING       17
ADDR_FRAGMENTS_PADDING    18
ADDR_PITCH_ALIGN          19
ADDR_HEIGHT_ALIGN         20
ADDR_EXTENT_ALIGN         21
ADDR_FRAGMENTS_ALIGN      22
ADDR_BASE_ADDR			  23
ADDR_ARRAY_MODE			  24
ADDR_ROTATION			  25
ADDR_SWIZZLE			  26
ADDR_ARRAY_CONFIG		  27
ADDR_ENDIAN_XOR			  28
ADDR_TILE_BASE			  29
ADDR_TILE_PAD			  30
ADDR_TILE_SLICES		  31
ADDR_TILE_SIZE			  32
ADDR_COMPACT_ENABLE			33
ADDR_SUPER_TILING_ENABLE	  34
ADDR_SUPER_TILE_WIDTH_RATIO		35	
ADDR_SUPER_TILE_HEIGHT_RATIO	36
ADDR_COMPACT_SMALL_X	  37	
ADDR_COMPACT_SMALL_Y	  38	
ADDR_COMPACT_LARGE_X	  39
ADDR_COMPACT_LARGE_Y	  40
ADDR_MACRO_WIDTH		  41	
ADDR_MACRO_HEIGHT		  42
ADDR_NUM_CORES			  43	
ADDR_CORE_TILE_SIZE		  44	
ADDR_NUM_CHIPS			  45
ADDR_CHIP_TILE_WIDTH	  46
ADDR_CHIP_TILE_HEIGHT	  47
ADDR_BANK_WIDTH			  48
ADDR_BANK_HEIGHT		  49	
ADDR_MACRO_TILE_ASPECT	  50	
ADDR_SPLIT_SIZE			  51	
ADDR_BANK_INTERLEAVE_SIZE	52	
ADDR_BANK_ROTATION		  53
ADDR_PIPE_ROTATION		  54
ADDR_BANK_SWIZZLE		  55
ADDR_PIPE_SWIZZLE		  56	
ADDR_IS_DISPLAYABLE		  57
ADDR_TILE_SPLIT_ROTATION	58
ADDR_ROW_SIZE			  59
ADDR_NUM_LOWER_PIPES	  60
ADDR_ADDR5_SWIZZLE		  61
ADDR_MICRO_TILEMODE		  62
ADDR_PIPE_CONFIG		  63
ADDR_HASH_EN			  64
ADDR_HASH_CHNLBITS		  65
ADDR_HASH_BANKBITS		  66
ADDR_HASH_CHNLXORCOUNT		67
ADDR_HASH_BANKXORCOUNT		68
ADDR_INVALID			  69
ADDR_LINEAR_R5XX		  70
ADDR_2D_EDRAMC_R5XX		  71
ADDR_2D_EDRAMZ_R5XX		  72
ADDR_2D_TILED_R5XX		  73
ADDR_3D_TILED_R5XX		  74
ADDR_LINEAR_YAMA		  75
ADDR_TILED_YAMA			  76
ADDR_EDRAM_CHUNK_1		  77
ADDR_EDRAM_CHUNK_2		  78
ADDR_EDRAM_CHUNK_4		  79
ADDR_EDRAM_CHUNK_8		  80
ADDR_EDRAM_CHUNK_16		  81
ADDR_MICRO_ONLY_R3XX	  82
ADDR_MACRO_ONLY_R3XX	  83
ADDR_MACRO_MICRO_R3XX	  84
ADDR_LINEAR_GENERAL		  85
ADDR_LINEAR_ALIGNED		  86
ADDR_COLOR_1D_THIN1		  87
ADDR_COLOR_1D_THICK		  88
ADDR_COLOR_2D_THIN1		  89
ADDR_COLOR_2D_THIN2		  90
ADDR_DEPTH_2D_THIN4		  91
ADDR_DEPTH_2D_THICK		  92
ADDR_COLOR_2D_XTHICK	  93
ADDR_DEPTH_2D_XTHICK	  94
ADDR_COLOR_POWER_SAVE	  95
ADDR_TILEDATA_CMASK		  96
ADDR_TILEDATA_HTILE		  97
ADDR_PRT_COLOR_2D_THIN1   98
ADDR_PRT_COLOR_2D_THICK	  99
ADDR_PRT_DEPTH_2D_THIN1	  100
ADDR_PRT_DEPTH_2D_THICK	  101
ADDR_PRT_COLOR_THIN1	  102
ADDR_PRT_COLOR_THICK	  103
ADDR_PRT_DEPTH_THIN1	  104
ADDR_PRT_DEPTH_THICK	  105
ADDR_1D_LINEAR_ALT	      106
ADDR_2D_LINEAR_ALT		  107
ADDR_3D_LINEAR_ALT		  108
ADDR_2D_TILED_ALT		  109
ADDR_3D_TILED_ALT		  110
